Year,Population,Violent Crime : Total,Violent Crime : Murder and nonnegligent manslaughter,Violent Crime : Forcible rape,Violent Crime : Robbery,Violent Crime : Aggravated assault,Property Crime : Property crime total,Property Crime : Burglary,Property Crime : Larceny-theft,Property Crime : Motor vehicle theft
2012-12-31,26059203.0,106476.0,1144.0,7711.0,30382.0,67239.0,876059.0,204810.0,606253.0,64996.0
2011-12-31,25631778.0,104734.0,1130.0,7486.0,28620.0,67498.0,892810.0,215755.0,613131.0,63924.0
2010-12-31,25253466.0,113231.0,1249.0,7622.0,32843.0,71517.0,951246.0,228597.0,654626.0,68023.0
2009-12-31,24782302.0,121684.0,1330.0,8311.0,38022.0,74021.0,995082.0,240058.0,678455.0,76569.0
2008-12-31,24326974.0,123585.0,1370.0,8055.0,37739.0,76421.0,969865.0,230046.0,654435.0,85384.0
2007-12-31,23904380.0,122014.0,1419.0,8460.0,38778.0,73357.0,985421.0,228320.0,663101.0,94000.0
2006-12-31,23507783.0,121602.0,1386.0,8429.0,37256.0,74531.0,959846.0,215710.0,648711.0,95425.0
2005-12-31,22928508.0,121091.0,1407.0,8511.0,35790.0,75383.0,990293.0,219828.0,677042.0,93423.0
2004-12-31,22471549.0,121554.0,1364.0,8388.0,35817.0,75985.0,1010702.0,220118.0,696507.0,94077.0
2003-12-31,22103374.0,122246.0,1422.0,8025.0,37017.0,75782.0,1016735.0,219877.0,698644.0,98214.0
2002-12-31,21736925.0,126018.0,1302.0,8508.0,37580.0,78628.0,1004274.0,212602.0,688992.0,102680.0
2001-12-31,21370983.0,122155.0,1332.0,8169.0,35348.0,77306.0,976654.0,204362.0,669625.0,102667.0
2000-12-31,20851820.0,113653.0,1238.0,7856.0,30257.0,74302.0,919658.0,188975.0,637522.0,93161.0
1999-12-31,20044141.0,112306.0,1217.0,7614.0,29405.0,74070.0,896261.0,190362.0,613862.0,92037.0
1998-12-31,19760000.0,111566.0,1346.0,7913.0,28677.0,73630.0,898496.0,194883.0,606967.0,96646.0
1997-12-31,19439000.0,117126.0,1327.0,8011.0,30522.0,77266.0,948231.0,201059.0,645451.0,101721.0
1996-12-31,19128000.0,123270.0,1477.0,8376.0,32804.0,80613.0,968732.0,204390.0,659414.0,104928.0
1995-12-31,18724000.0,124303.0,1693.0,8563.0,33667.0,80380.0,940033.0,202642.0,632468.0,104923.0
1994-12-31,18378000.0,129838.0,2022.0,9102.0,37643.0,81071.0,949387.0,214687.0,623947.0,110753.0
1993-12-31,18031000.0,137419.0,2147.0,9922.0,40469.0,84881.0,1023612.0,233913.0,664862.0,124837.0
1992-12-31,17656000.0,142369.0,2239.0,9437.0,44588.0,86105.0,1103779.0,268928.0,689780.0,145071.0
1991-12-31,17349000.0,145743.0,2652.0,9266.0,49700.0,84125.0,1210784.0,312693.0,734261.0,163830.0
1990-12-31,16986510.0,129343.0,2389.0,8750.0,44297.0,73907.0,1200151.0,314512.0,731224.0,154415.0
1989-12-31,16991000.0,111889.0,2029.0,7951.0,37913.0,63996.0,1234977.0,342346.0,741660.0,150971.0
1988-12-31,16780000.0,109499.0,2022.0,8119.0,39301.0,60057.0,1235870.0,361972.0,739642.0,134256.0
1987-12-31,16789000.0,105961.0,1959.0,8068.0,38053.0,57881.0,1190558.0,355597.0,711594.0,123367.0
1986-12-31,16682000.0,109925.0,2258.0,8607.0,40021.0,59039.0,1125897.0,341747.0,665029.0,119121.0
1985-12-31,16370000.0,90030.0,2132.0,8364.0,31680.0,47854.0,985265.0,289825.0,595912.0,99528.0
1984-12-31,15989000.0,80737.0,2093.0,7343.0,28540.0,42761.0,883391.0,266074.0,529518.0,87799.0
1983-12-31,15724000.0,80546.0,2239.0,6333.0,29769.0,42205.0,848312.0,262198.0,503582.0,82532.0
1982-12-31,15280000.0,88178.0,2466.0,6816.0,33618.0,45278.0,874799.0,285967.0,501727.0,87105.0
1981-12-31,14755000.0,78560.0,2446.0,6821.0,28528.0,40765.0,814163.0,275978.0,454879.0,83306.0
1980-12-31,14169829.0,77978.0,2392.0,6700.0,29547.0,39339.0,792480.0,262600.0,450792.0,79088.0
1979-12-31,13385000.0,67988.0,2235.0,6043.0,25667.0,34043.0,725109.0,239758.0,412515.0,72836.0
1978-12-31,13014000.0,56650.0,1853.0,4927.0,21395.0,28475.0,666514.0,209770.0,398923.0,57821.0
1977-12-31,12830000.0,52309.0,1705.0,4338.0,19552.0,26714.0,640141.0,205672.0,383451.0,51018.0
1976-12-31,12487000.0,44422.0,1519.0,3666.0,17352.0,21885.0,637918.0,193280.0,400767.0,43871.0
1975-12-31,12237000.0,47803.0,1639.0,3430.0,20076.0,22658.0,613872.0,203821.0,362665.0,47386.0
1974-12-31,12050000.0,47008.0,1652.0,3486.0,19757.0,22113.0,529824.0,185928.0,297850.0,46046.0
1973-12-31,11794000.0,45458.0,1506.0,2976.0,17056.0,23920.0,441106.0,150463.0,248538.0,42105.0
1972-12-31,11649000.0,41285.0,1440.0,2739.0,14013.0,23093.0,414700.0,141613.0,233646.0,39441.0
1971-12-31,11460000.0,43089.0,1383.0,2701.0,14220.0,24785.0,426779.0,135648.0,247653.0,43478.0
1970-12-31,11196000.0,40897.0,1299.0,2329.0,15280.0,21989.0,426351.0,129866.0,251091.0,45394.0
